Country/Territory,station_count,2022 Population,stations_per_million,infrastructure_class,population_density_feature,stations_per_population,predicted_class,prediction_probability
Canada,4135,38454327,107.5301616902566,Good,38.454327,0.0001075301616902566,Good,0.0
Liechtenstein,4,39327,101.71129249624938,Good,0.039327,0.00010171129249624939,Good,0.0
Denmark,296,5882261,50.32078651389321,Good,5.882261,5.032078651389321e-05,Good,0.0
Spain,888,47558630,18.671690080223087,Good,47.55863,1.8671690080223086e-05,Good,0.0
Ireland,78,5023109,15.528231619102831,Good,5.023109,1.5528231619102832e-05,Good,0.005
Malaysia,377,33938221,11.10841961928411,Good,33.938221,1.110841961928411e-05,Good,0.0
Georgia,29,3744385,7.744930075299415,Good,3.744385,7.744930075299414e-06,Good,0.055
Lithuania,21,2750055,7.636210912145394,Good,2.750055,7.636210912145394e-06,Good,0.065
United States,2266,338289857,6.698397699816344,Good,338.289857,6.6983976998163444e-06,Good,0.04
Netherlands,95,17564014,5.408786397004694,Good,17.564014,5.408786397004694e-06,Good,0.005
Austria,43,8939617,4.810049468562244,Good,8.939617,4.8100494685622435e-06,Good,0.03
Latvia,7,1850651,3.7824527693227954,Good,1.850651,3.7824527693227952e-06,Good,0.0
Finland,20,5540745,3.609622893672241,Good,5.540745,3.609622893672241e-06,Good,0.015
Slovenia,7,2119844,3.302129779361123,Good,2.119844,3.302129779361123e-06,Good,0.015
Luxembourg,2,647599,3.0883308961255347,Good,0.647599,3.0883308961255345e-06,Good,0.055
Italy,134,59037474,2.269744806493584,Good,59.037474,2.269744806493584e-06,Good,0.0
Estonia,3,1326062,2.2623376584201944,Good,1.326062,2.2623376584201944e-06,Good,0.015
Switzerland,17,8740472,1.9449750539787785,Good,8.740472,1.9449750539787784e-06,Good,0.02
Costa Rica,10,5180829,1.9301930250930883,Good,5.180829,1.9301930250930882e-06,Good,0.045
Malta,1,533286,1.8751664210198653,Good,0.533286,1.8751664210198656e-06,Good,0.065
Belgium,21,11655930,1.801658040156384,Good,11.65593,1.801658040156384e-06,Good,0.145
Croatia,7,4030358,1.7368184166270093,Good,4.030358,1.7368184166270093e-06,Good,0.02
France,112,64626628,1.7330317775515072,Good,64.626628,1.7330317775515071e-06,Good,0.02
Cyprus,2,1251488,1.5980976245876908,Good,1.251488,1.5980976245876908e-06,Good,0.055
Australia,39,26177413,1.4898340030773858,Good,26.177413,1.4898340030773859e-06,Good,0.075
Hungary,13,9967308,1.3042638995403772,Good,9.967308,1.3042638995403773e-06,Good,0.08
Sweden,13,10549347,1.2323037624982855,Good,10.549347,1.2323037624982855e-06,Good,0.1
Israel,10,9038309,1.1064016510167998,Good,9.038309,1.1064016510167997e-06,Good,0.07
Azerbaijan,11,10358074,1.0619734904384732,Good,10.358074,1.0619734904384733e-06,Good,0.16
Brazil,199,215313498,0.9242337421874034,Good,215.313498,9.242337421874034e-07,Good,0.05
Panama,4,4408581,0.9073214261005978,Good,4.408581,9.073214261005979e-07,Good,0.16
Germany,69,83369843,0.8276373988133815,Good,83.369843,8.276373988133814e-07,Good,0.065
Tunisia,9,12356117,0.7283841679388435,Good,12.356117,7.283841679388435e-07,Poor,0.88
Armenia,2,2780469,0.7193031103745448,Poor,2.780469,7.193031103745447e-07,Poor,0.9
Jordan,8,11285869,0.7088510419534375,Poor,11.285869,7.088510419534375e-07,Poor,0.93
Slovakia,4,5643453,0.7087859152898057,Poor,5.643453,7.087859152898057e-07,Poor,0.75
Dominican Republic,7,11228821,0.6233958133271517,Poor,11.228821,6.233958133271516e-07,Poor,0.955
Romania,11,19659267,0.5595325603950544,Poor,19.659267,5.595325603950544e-07,Poor,0.97
United Kingdom,36,67508936,0.5332627372471105,Poor,67.508936,5.332627372471105e-07,Poor,0.845
New Zealand,2,5185288,0.3857066377026695,Poor,5.185288,3.8570663770266953e-07,Poor,0.965
Jamaica,1,2827377,0.3536847049403033,Poor,2.827377,3.5368470494030334e-07,Poor,0.975
Albania,1,2842321,0.3518251457171797,Poor,2.842321,3.5182514571717974e-07,Poor,0.975
Poland,13,39857145,0.3261648570162263,Poor,39.857145,3.2616485701622634e-07,Poor,0.965
United Arab Emirates,3,9441129,0.3177586070479494,Poor,9.441129,3.1775860704794946e-07,Poor,0.96
Bosnia and Herzegovina,1,3233526,0.3092599224499818,Poor,3.233526,3.0925992244998185e-07,Poor,0.975
Paraguay,2,6780744,0.2949528842262737,Poor,6.780744,2.949528842262737e-07,Poor,1.0
Bulgaria,2,6781953,0.2949003037915479,Poor,6.781953,2.9490030379154796e-07,Poor,1.0
Uruguay,1,3422794,0.2921589788926824,Poor,3.422794,2.921589788926824e-07,Poor,0.975
Greece,3,10384971,0.2888789963881459,Poor,10.384971,2.888789963881459e-07,Poor,0.965
Egypt,25,110990103,0.2252453085839554,Poor,110.990103,2.2524530858395545e-07,Poor,0.97
Ecuador,4,18001000,0.2222098772290428,Poor,18.001,2.2220987722904282e-07,Poor,0.98
Norway,1,5434319,0.1840156972750403,Poor,5.434319,1.8401569727504034e-07,Poor,0.965
Ukraine,7,39701739,0.1763146949306175,Poor,39.701739,1.7631469493061753e-07,Poor,0.98
Colombia,8,51874024,0.1542197690312207,Poor,51.874024,1.542197690312207e-07,Poor,0.99
Serbia,1,7221365,0.1384779747319239,Poor,7.221365,1.3847797473192394e-07,Poor,1.0
Japan,16,123951692,0.129082546126115,Poor,123.951692,1.29082546126115e-07,Poor,0.955
Guatemala,2,17843908,0.1120830705919353,Poor,17.843908,1.1208307059193536e-07,Poor,1.0
Portugal,1,10270865,0.0973627829788435,Poor,10.270865,9.736278297884356e-08,Poor,0.995
Sri Lanka,2,21832143,0.091608047821966,Poor,21.832143,9.1608047821966e-08,Poor,1.0
Nepal,2,30547580,0.0654716347416063,Poor,30.54758,6.547163474160637e-08,Poor,1.0
Mexico,8,127504125,0.0627430681164236,Poor,127.504125,6.274306811642369e-08,Poor,0.995
Morocco,2,37457971,0.0533931749800329,Poor,37.457971,5.339317498003295e-08,Poor,1.0
South Africa,3,59893885,0.0500885858381035,Poor,59.893885,5.008858583810351e-08,Poor,0.985
Indonesia,9,275501339,0.0326677178146128,Poor,275.501339,3.266771781461287e-08,Poor,0.995
Uzbekistan,1,34627652,0.0288786545504153,Poor,34.627652,2.8878654550415372e-08,Poor,1.0
India,27,1417173173,0.0190520117896699,Poor,1417.173173,1.905201178966997e-08,Poor,0.975
China,1,1425887337,0.0007013176806127,Poor,1425.887337,7.013176806127987e-10,Poor,1.0
